step, arokato, population, wealth 
0,AR60437,202.1,125.79998428989977
0,AUA08114,28.575,6.853968018297383
0,AMO02104,12.435,1.9881685242355194
0,AUA08203,14.023,2.377347914256389
0,AR64410,14.8,2.5759108541915166
0,AMO01139,14.391,2.4707398492498607
0,AR60427,123.139,60.20286846466655
0,AUA08102,11.009,1.658701658051129
0,AUA08112,16.49,3.0253916079109984
0,AUA08108,13.841,2.3315972949356882
0,AR60412,25.6,5.819962109699879
0,AR60251501,10.7,1.5899258166498547
0,AR08217501,18.0,3.446538969123662
0,AUA14102,31.043,7.752790039058231
0,AUA04113,117.414,56.08701296247017
0,AUA08111,12.945,2.1106642050801536
0,AMO01126,11.048,1.6674497337106462
0,AR60225501,10.7,1.5899258166498547
0,AR18224501,17.6,3.3332322219632102
0,AUA04115,17.523,3.311563523980693
0,AUA04101,12.397,1.9791378509806783
0,AUA08104,17.22,3.2267470122834223
0,AUA14106,15.354,2.7206385037018235
0,AR60440,230.681,153.15457861146905
0,AUA05116,20.462,4.170612447329084
0,AUA15113,27.383,6.433033720056738
0,AMO01102,67.114,24.408545074307415
0,AR60430,118.009,56.510312635536536
0,AMO02106,21.067,4.3553533820128445
0,AKA09103,43.918,12.98944931658854
0,AUA08107,451.137,415.36475978094825
0,AKA04108,17.236,3.2312077119621936
0,AUA05102,20.037,4.0424143901901575
0,AR60226501,39.8,11.21983850997578
0,AUA05135,18.002,3.4471086155120156
0,AR08224557,11.041,1.665878456016704
0,AUA04111,431.185,388.33655811273576
0,AUA15103,17.922,3.424346843585438
0,AKA16101,31.061,7.759477805766979
0,AUA05122,21.947,4.6287070707508295
0,AUA05117,1234.109,1855.78687092475
0,AR60418,10.9,1.6343320426214667
0,AUA05121,13.433,2.2301006990114947
0,AUA05130,14.847,2.5880882865992416
0,AUA05148,242.183,164.65058800946474
0,AR60415,53.0,17.17984169623973
0,AUA14108,44.33,13.171121584820412
0,AUA07106,10.849,1.622970405710532
0,AUA11101,13.056,2.1376414995092934
0,AUA05110,14.216,2.4261808795835864
0,AUA12132,62.155,21.774765767403036
0,AUA12129,57.332,19.309632149138782
0,AUA12138,20.673,4.234744538455974
0,AUA05201,13.664,2.287383942252465
0,AUA12103,55.638,18.46709693629783
0,AUA11103,14.156,2.4109648065250457
0,AUA12113,132.232,66.93317208978766
0,AUA05143,12.949,2.111634408254075
0,AUA07102,15.91,2.8684711197208768
0,AUA05123,16.314,2.977485250652922
0,AMO01146,15.195,2.678836241253678
0,AUA05120,12.512,2.0065087775816095
0,AR60206501,23.5,5.1242129811339545
0,AUA07110,20.902,4.304709549887637
0,AUA05138,14.296,2.4465177150058346
0,AUA04201,14.133,2.4051403020428297
0,AUA07101,25.73,5.8639783760607616
0,AUA05128,99.337,43.737873992223854
0,AR12402,22.3,4.739881982772677
0,AUA05111,531.349,529.8432356409517
0,AUA24112,154.39,84.2797691918824
0,AUA12114,58.186,19.739027811611816
0,AR60419,76.804,29.830807902342872
0,AUA11109,16.921,3.1437603284941
0,AUA04122,28.026,6.659012391027309
0,AUA05204,12.913,2.102907842444639
0,AR60417,42.4,12.327268764838532
0,AUA04107,32.406,8.264509908723683
0,AUA05112,33.847,8.817039519944995
0,AR60234501,27.0,6.299650931776877
0,AUA05140,11.863,1.8536691880711316
0,AUA05124,15.428,2.740165857372548
0,AUA11102,13.119,2.153002809683422
0,AUA02102,11.545,1.780241879160288
0,AUA12118,11.375,1.7413891610677021
0,AUA04121,21.359,4.445451924359385
0,AUA05115,23.666,5.178147462904267
0,AUA04106,954.915,1267.1814451805137
0,AUA07104,46.423,14.106693903403416
0,AUA02112,25.639,5.8331555754926825
0,AUA12102,129.946,65.21923602072162
0,AUA04102,15.975,2.8859204401975562
0,AUA24111,10.319,1.506449786226431
0,AR08401,322.7,252.34012999777116
0,AUA11105,134.33,68.51892311753063
0,AUA04116,45.827,13.838142741465463
0,AUA09108,31.303,7.849574362750976
0,AUA12135,226.845,149.3816312642548
0,AUA12117,285.667,210.494357997576
0,AUA05151,23.33,5.069171040298443
0,AUA05103,65.222,23.392077100021492
0,AUA12109,13.938,2.3559446086746205
0,AUA12126,31.027,7.74684694429438
0,AUA07109,47.396,14.548735339246164
0,AUA12123,43.671,12.880931334087785
0,AUA11106,11.362,1.738429652048761
0,AUA02117,12.492,2.0017397707999645
0,AUA11110,50.683,16.074658812407584
0,AUA22106,40.299,11.42972250912904
0,AKA09201,12.31,1.9585131724726677
0,AUA05147,11.004,1.6575812009566828
0,AR18216501,16.7,3.0828794782740436
0,AUA12110,45.524,13.702264271286985
0,AR18401,688.569,779.0944808579577
0,AR18251507,19.0,3.7351753594923593
0,AR18230501,11.4,1.7470851592862806
0,AUA11104,22.297,4.73893351499385
0,AUA05126,345.108,278.8403102502703
0,AUA23112,44.546,13.266697119668136
0,AUA11108,12.189,1.929946266418849
0,AR99401,40.7,11.599308109457837
0,AUA02104,17.68,3.355794155700521
0,AUA09201,10.091,1.4572060933646547
0,AUA05144,11.948,1.8734601278747223
0,AUA20111,28.73,6.909343016416322
0,AUA23111,12.948,2.111391843761834
0,AUA20102,13.476,2.2407277154900553
0,AR60232501,30.0,7.368517421474724
0,AUA12116,183.949,109.36760314087654
0,AUA09106,66.456,24.053431938188567
0,AR08418,37.4,10.22839335228098
0,AUA05127,28.911,6.974191268897931
0,AUA23116,16.13,2.927670035579096
0,AUA09107,12.873,2.0932255592698676
0,AUA19117,15.294,2.7048391500432327
0,AUA23101,11.946,1.8729936678629446
0,AUA02106,29.368,7.13880476439117
0,AUA23106,11.619,1.797241801452723
0,AUA12115,25.938,5.934630062117505
0,AR18208501,11.7,1.8159104181900287
0,AR64435,17.9,3.4180960253859705
0,AUA16108,92.81,39.53235010708488
0,AUA09101,10.515,1.5492085929557473
0,AUA11112,13.254,2.1860410246351263
0,AUA23104,17.154,3.208367988861906
0,AR08212551,11.957,1.8755596689385239
0,AUA16106,10.844,1.621857918553559
0,AUA20108,37.595,10.307821496786387
0,AR64430,21.6,4.5202680870846725
0,AUA02103,121.854,59.27075334010666
0,AUA23110,44.534,13.26138142861096
0,AUA13136,36.18,9.73605683879174
0,AUA23103,11.274,1.7184394963204666
0,AUA12134,19.519,3.8879482695903964
0,AUA23102,16.089,2.916607485513657
0,AUA13111,83.404,33.72263788981391
0,AUA20109,15.419,2.737788464969674
0,AUA16102,12.504,2.0046007285862584
0,AUA12131,21.455,4.475205166323126
0,AUA22112,62.473,21.940685569478887
0,AUA23114,84.822,34.578994443568455
0,AUA23108,11.517,1.773823297135128
0,AUA16105,14.488,2.495552478454473
0,AUA19101,11.199,1.7014623457480067
0,AUA20101,21.325,4.4349299258024955
0,AUA13130,23.649,5.172615550144813
0,AUA19115,52.245,16.817073785527434
0,AUA02118,13.288,2.194387718925605
0,AUA10103,11.8,1.8390451228980527
0,AUA10120,11.368,1.7397953742863568
0,AUA16113,143.097,75.27542188451254
0,AUA22107,10.522,1.5507429344127146
0,AUA23105,24.603,5.486030256555107
0,AUA20107,11.388,1.7443503193684462
0,AUA20110,25.644,5.834847753424317
0,AUA02109,22.784,4.893713022961397
0,AUA20204,13.43,2.2293598973047652
0,AUA10118,12.781,2.071011962948669
0,AKA16103,54.119,17.722151623669507
0,AUA22111,19.909,4.004061905195873
0,AR18428,26.4,6.092546656525509
0,AUA10102,70.633,26.336371839111912
0,AUA16114,12.357,1.9696464469609043
0,AKA09104,531.485,530.0449730459318
0,AR10420,27.5,6.473962169888939
0,AUA13115,10.513,1.5487703011175828
0,AUA13118,417.872,370.6364801611618
0,AUA20117,22.657,4.853192584808309
0,AUA12125,15.888,2.8625730561279608
0,AUA06103,53.206,17.27926183967565
0,AKA04102,11.748,1.8270030975663896
0,AUA20112,31.54,7.938139149242175
0,AUA16111,24.646,5.500298693703407
0,AKA16106,150.371,81.03713282247759
0,AUA10122,12.255,1.9455111635369684
0,AUA20116,1034.281,1426.9726377819943
0,AUA16110,29.442,7.165578088206967
0,AR18245501,10.3,1.5023256924011625
0,AR18420,35.0,9.2674986334118
0,AUA16201,11.984,1.8818629140901275
0,AUA13114,10.66,1.581092784322675
0,AUA10124,30.24,7.456372703730384
0,AUA10115,14.361,2.463082307069857
0,AUA13104,10.243,1.489975666433048
0,AR18415,76.2,29.48252141655349
0,AUA19108,16.438,3.011211384594181
0,AR10221501,16.0,2.892640946339826
0,AUA22109,19.775,3.964040240269617
0,AUA22105,11.587,1.7898839864248288
0,AUA16103,10.65,1.5788870473377012
0,AUA20103,17.754,3.37670830466412
0,AUA22113,31.898,8.072536440075849
0,AUA10108,20.45,4.166974773016267
0,AR14420,18.1,3.4750590483346495
0,AR20247501,30.2,7.441706468726754
0,AUA06104,116.246,55.25910498548144
0,AUA16112,15.203,2.6809344276881317
0,AUA10126,13.95,2.3589624046761846
0,AR10401,94.7,40.735765342986745
0,AUA20105,20.592,4.210087188663791
0,AKA04101,96.68,42.00910371374831
0,AUA22110,20.216,4.096248466722067
0,AUA18109,32.031,8.122654233132439
0,AUA10105,19.465,3.8719594469853624
0,AUA06106,16.96,3.1545444489399532
0,AUA10101,12.05,1.8972999911082098
0,AKA16107,66.812,24.245348268514764
0,AUA10104,17.18,3.2156041027402424
0,AR81233501,10.3,1.5023256924011625
0,AUA16101,11.725,1.8216850927950086
0,AUA16109,10.874,1.6285365898517954
0,AUA13143,12.241,1.9422060956797846
0,AR76407,23.7,5.189217100155926
0,AR81221501,13.8,2.3213311121435787
0,AKA16108,156.11,85.6801978739765
0,AR14450,13.9,2.346396611496507
0,AUA17102,18.651,3.633578385052453
0,AUA26101,1115.549,1596.9073435547023
0,AR20215501,16.9,3.1379585094456277
0,AR20233501,12.1,1.9090222300616895
0,AR63230501,12.8,2.075593187422251
0,AUA18114,17.992,3.4442606921291
0,AUA10106,17.824,3.3965311119886072
0,AUA06111,11.427,1.75324368031781
0,AR18238501,18.7,3.647787246739347
0,AUA10111,25.07,5.641640486500845
0,AUA17104,14.964,2.618483935065212
0,AR08409,177.3,103.53942113461746
0,AR76209554,12.986,2.120615711150178
0,AUA18108,24.741,5.5318650104785565
0,AR14401,72.3,27.266232788537383
0,AUA25113,43.719,12.901996485290834
0,AUA06108,27.58,6.501996361473587
0,AR14215551,10.386,1.52102217544154
0,AUA17110,59.598,20.455741355985072
0,AKA16111,15.916,2.8700803728845696
0,AR14410,20.1,4.061334955624286
0,AUA03109,23.895,5.252854127998162
0,AUA03107,57.305,19.296106948496764
0,AUA18111,48.04,14.843757726433955
0,AR14244501,12.9,2.0997594943484263
0,AUA06107,11.095,1.6780123040992134
0,AR18425,31.5,7.923168673126253
0,AR20208501,13.3,2.197336098975956
0,AUA03102,20.928,4.312676899743405
0,AR20231501,28.4,6.791623635124024
0,AUA25106,13.131,2.155932858221048
0,AUA17106,11.762,1.830242630418771
0,AR64405,22.2,4.708299937460977
0,AR10410,48.8,15.194408105838361
0,AUA18113,98.015,42.87486224379482
0,AUA25111,16.068,2.9109466190342324
0,AUA06105,38.041,10.4902429979826
0,AR63223501,14.8,2.5759108541915166
0,AR18210551,13.873,2.339620234608251
0,AR20221501,37.6,10.309860762348594
0,AR01225501,13.9,2.346396611496507
0,AR63418,13.6,2.271465608849357
0,AUA25109,46.211,14.010975214167287
0,AR20204501,17.848,3.4033362517249044
0,AR20251551,11.354,1.7366092359096745
0,AUA18101,28.082,6.678814024969809
0,AR53425,21.6,4.5202680870846725
0,AR01214501,13.8,2.3213311121435787
0,AKA021,102.276,45.67654544532194
0,AUA25102,13.066,2.1400773952392522
0,AR53423,230.7,153.17334295528389
0,AR20239501,19.3,3.8232387281615097
0,AR38226501,11.9,1.8622756011339427
0,AUA03106,24.666,5.506939313410536
0,AKA07102,103.914,46.7689255016161
0,AUA18106,54.097,17.71143644957716
0,AUA25104,10.131,1.4658064960721184
0,AR76415,29.8,7.295565847061047
0,AR14430,21.3,4.427198377160578
0,AR81248501,11.6,1.7928719056794271
0,AR14440,27.5,6.473962169888939
0,AUA06109,11.536,1.7781779349754028
0,AUA17111,10.174,1.4750704081400479
0,AR63217501,20.0,4.031315816194928
0,AR76247501,15.9,2.8657896885210357
0,AR20410,54.4,17.8592002564766
0,AR10430,56.9,19.093602102217282
0,AR53415,36.8,9.985266059891254
0,AR20213551,15.928,2.8732997664437447
0,AR53414,21.4,4.458151079994527
0,AR20202551,11.834,1.8469327605330315
0,AUA25115,89.585,37.50642138099807
0,AR63221501,13.2,2.1728059557742836
0,AR01416,111.4,51.86758462865162
0,AR63401,689.968,781.4502255670233
0,AR63410,64.3,22.901896804495127
0,AUA18107,13.996,2.370542343634805
0,AR38234501,12.7,2.0515187431756354
0,AR76405,28.8,6.934398904670454
0,AKA03104,10.999,1.656460992020513
0,AR76220551,10.389,1.5216757452159955
